Subspace,Breakdown,Ce,Insight_type,Sig,Imp,Score,Key,Value
"{Year: *, Brand: *, Category: *}",Year,"[(SUM, Sales), (prev, Year)]",Point,1.0,1.0,1.0,"['2010', '2011', '2007', '2008', '2009']","[373133, 304424, 0, -574024, -685877]"
"{Year: *, Brand: *, Category: *}",Brand,"[(SUM, Sales), (%, Brand)]",Point,1.0,1.0,1.0,"['Ford', 'Toyota', 'Honda', 'Hyundai', 'GMC', 'BMW', 'Mazda', 'Volkswagen']","[0.2504, 0.2409, 0.2021, 0.1016, 0.0771, 0.0557, 0.0464, 0.0256]"
"{Year: *, Brand: *, Category: *}",Brand,"[(SUM, Sales), (avg, Brand)]",Point,1.0,1.0,1.0,"['Ford', 'Toyota', 'Honda', 'Hyundai', 'GMC', 'BMW', 'Mazda', 'Volkswagen']","[2749420.0, 2541808.0, 1691205.0, -512647.0, -1050192.0, -1519225.0, -1722257.0, -2178112.0]"
"{Year: *, Brand: *, Category: *}",Year,"[(SUM, Sales), (rank, Year)]",Point,1.0,1.0,1.0,"['2009', '2010', '2011', '2008', '2007']","[5, 4, 3, 2, 1]"
"{Year: *, Brand: *, Category: *}",Brand,"[(SUM, Sales), (rank, Brand)]",Point,1.0,1.0,1.0,"['Volkswagen', 'Mazda', 'BMW', 'GMC', 'Hyundai', 'Honda', 'Toyota', 'Ford']","[8, 7, 6, 5, 4, 3, 2, 1]"
"{Year: *, Brand: *, Category: *}",Category,"[(SUM, Sales), (rank, Category)]",Point,1.0,1.0,1.0,"['MPV', 'Sporty', 'Fullsize', 'Pickup', 'Compact', 'Subcompact', 'Midsize', 'SUV']","[8, 7, 6, 5, 4, 3, 2, 1]"
"{Year: *, Brand: *, Category: *}",Category,"[(SUM, Sales), (avg, Category)]",Point,1.0,1.0,1.0,"['SUV', 'Midsize', 'Subcompact', 'Compact', 'Pickup', 'Fullsize', 'Sporty', 'MPV']","[4112908.0, 3076589.0, 1432050.0, -18992.0, -1588698.0, -2158359.0, -2204341.0, -2651157.0]"
"{Year: *, Brand: *, Category: *}",Category,"[(SUM, Sales), (%, Category)]",Point,1.0,1.0,1.0,"['SUV', 'Midsize', 'Subcompact', 'Compact', 'Pickup', 'Fullsize', 'Sporty', 'MPV']","[0.3126, 0.2653, 0.1903, 0.1241, 0.0525, 0.0265, 0.0244, 0.0041]"
"{Year: *, Brand: *, Category: *}",Year,"[(SUM, Sales), (avg, Year)]",Point,1.0,1.0,1.0,"['2007', '2008', '2011', '2010', '2009']","[660607.4000000004, 86583.40000000037, 78263.40000000037, -226160.59999999963, -599293.5999999996]"
"{Year: *, Brand: *, Category: *}",Year,"[(SUM, Sales), (%, Year)]",Point,0.72225,1.0,0.72225,"['2007', '2008', '2011', '2010', '2009']","[0.2301, 0.2039, 0.2036, 0.1897, 0.1727]"
"{Year: *, Brand: *, Category: *}",Year,"[(SUM, Sales), (prev, Year)]",Shape,0.72056,1.0,0.72056,"['2010', '2011', '2007', '2008', '2009']","[373133, 304424, 0, -574024, -685877]"
"{Year: *, Brand: *, Category: SUV}",Brand,"[(SUM, Sales), (%, Brand)]",Point,1.0,0.31261,0.31261,"['Ford', 'Toyota', 'Honda', 'GMC', 'Hyundai', 'BMW', 'Mazda', 'Volkswagen']","[0.3254, 0.2232, 0.1652, 0.1253, 0.0814, 0.0409, 0.0224, 0.0162]"
"{Year: *, Brand: *, Category: SUV}",Year,"[(SUM, Sales), (avg, Category)]",Point,1.0,0.31261,0.31261,"['2007', '2011', '2010', '2008', '2009']","[993744.875, 991005.875, 817429.875, 691542.875, 619184.5]"
"{Year: *, Brand: *, Category: SUV}",Brand,"[(SUM, Sales), (avg, Brand)]",Point,1.0,0.31261,0.31261,"['Ford', 'Toyota', 'Honda', 'GMC', 'Hyundai', 'BMW', 'Mazda', 'Volkswagen']","[1373408.875, 673262.875, 275428.875, 2243.875, -299072.125, -576240.125, -703165.125, -745867.125]"
"{Year: *, Brand: *, Category: SUV}",Year,"[(SUM, Sales), (avg, Year)]",Point,1.0,0.31261,0.31261,"['2007', '2011', '2010', '2008', '2009']","[253739.19999999995, 178207.19999999995, -33421.80000000005, -120215.80000000005, -278308.80000000005]"
"{Year: *, Brand: *, Category: SUV}",Year,"[(SUM, Sales), (rank, Year)]",Point,1.0,0.31261,0.31261,"['2009', '2008', '2010', '2011', '2007']","[5, 4, 3, 2, 1]"
"{Year: *, Brand: *, Category: SUV}",Brand,"[(SUM, Sales), (rank, Brand)]",Point,1.0,0.31261,0.31261,"['Volkswagen', 'Mazda', 'BMW', 'Hyundai', 'GMC', 'Honda', 'Toyota', 'Ford']","[8, 7, 6, 5, 4, 3, 2, 1]"
"{Year: *, Brand: *, Category: SUV}",Year,"[(SUM, Sales), (%, Year)]",Point,1.0,0.31261,0.31261,"['2007', '2011', '2010', '2008', '2009']","[0.237, 0.226, 0.1951, 0.1825, 0.1594]"
"{Year: *, Brand: *, Category: SUV}",Year,"[(SUM, Sales), (prev, Year)]",Point,1.0,0.31261,0.31261,"['2010', '2011', '2007', '2009', '2008']","[244887, 211629, 0, -158093, -373955]"
"{Year: *, Brand: *, Category: SUV}",Brand,"[(SUM, Sales), (rank, Category)]",Point,0.99999,0.31261,0.31261,"['Honda', 'Hyundai', 'Mazda', 'Toyota', 'BMW', 'Volkswagen', 'Ford', 'GMC']","[3, 3, 3, 3, 2, 2, 1, 1]"
"{Year: *, Brand: *, Category: SUV}",Brand,"[(SUM, Sales), (%, Category)]",Point,0.99999,0.31261,0.31261,"['GMC', 'Ford', 'Toyota', 'Honda', 'Hyundai', 'BMW', 'Volkswagen', 'Mazda']","[0.5082, 0.4062, 0.2896, 0.2555, 0.2503, 0.2296, 0.1971, 0.1508]"
"{Year: *, Brand: *, Category: SUV}",Year,"[(SUM, Sales), (%, Category)]",Point,0.99345,0.31261,0.31057,"['2011', '2007', '2010', '2009', '2008']","[0.3471, 0.322, 0.3216, 0.2886, 0.2797]"
"{Year: *, Brand: *, Category: SUV}",Brand,"[(SUM, Sales), (avg, Category)]",Point,0.99041,0.31261,0.30962,"['Ford', 'BMW', 'GMC', 'Hyundai', 'Volkswagen', 'Mazda', 'Toyota', 'Honda']","[1445815.5714285714, 76901.66666666666, 13870.5, 675.5, -1647.800000000003, -50116.79999999999, -230772.33333333326, -345072.0]"
"{Year: *, Brand: *, Category: SUV}",Year,"[(SUM, Sales), (prev, Year)]",Shape,0.86969,0.31261,0.27188,"['2010', '2011', '2007', '2009', '2008']","[244887, 211629, 0, -158093, -373955]"
"{Year: *, Brand: *, Category: Midsize}",Brand,"[(SUM, Sales), (%, Brand)]",Point,1.0,0.26534,0.26534,"['Toyota', 'Honda', 'Ford', 'Hyundai', 'Mazda', 'Volkswagen', 'BMW', 'GMC']","[0.3271, 0.27, 0.1625, 0.1385, 0.0372, 0.0343, 0.0304, 0]"
"{Year: *, Brand: *, Category: Midsize}",Year,"[(SUM, Sales), (rank, Year)]",Point,1.0,0.26534,0.26534,"['2009', '2010', '2011', '2008', '2007']","[5, 4, 3, 2, 1]"
"{Year: *, Brand: *, Category: Midsize}",Brand,"[(SUM, Sales), (%, Category)]",Point,1.0,0.26534,0.26534,"['Hyundai', 'Toyota', 'Volkswagen', 'Honda', 'Mazda', 'Ford', 'BMW', 'GMC']","[0.3616, 0.3603, 0.3545, 0.3544, 0.2126, 0.1722, 0.145, 0]"
"{Year: *, Brand: *, Category: Midsize}",Brand,"[(SUM, Sales), (rank, Brand)]",Point,1.0,0.26534,0.26534,"['BMW', 'Volkswagen', 'Mazda', 'Hyundai', 'Ford', 'Honda', 'Toyota', 'GMC']","[7, 6, 5, 4, 3, 2, 1, 0]"
"{Year: *, Brand: *, Category: Midsize}",Brand,"[(SUM, Sales), (avg, Brand)]",Point,1.0,0.26534,0.26534,"['Toyota', 'Honda', 'Ford', 'Hyundai', 'Mazda', 'Volkswagen', 'BMW', 'GMC']","[1071890.1428571427, 739694.1428571428, 114105.14285714284, -25435.85714285716, -614568.8571428572, -631714.8571428572, -653969.8571428572, -830972.8571428572]"
"{Year: *, Brand: *, Category: Midsize}",Year,"[(SUM, Sales), (prev, Year)]",Point,1.0,0.26534,0.26534,"['2010', '2011', '2007', '2008', '2009']","[86810, 15892, 0, -52346, -149976]"
"{Year: *, Brand: *, Category: Midsize}",Year,"[(SUM, Sales), (avg, Year)]",Point,1.0,0.26534,0.26534,"['2007', '2008', '2011', '2010', '2009']","[93960.0, 41614.0, -5660.0, -21552.0, -108362.0]"
"{Year: *, Brand: *, Category: Midsize}",Brand,"[(SUM, Sales), (avg, Category)]",Point,0.99999,0.26534,0.26534,"['Hyundai', 'Ford', 'Toyota', 'Honda', 'Volkswagen', 'Mazda', 'BMW', 'GMC']","[248643.5, 160843.57142857148, 142186.66666666674, 93525.0, 86836.2, 12811.200000000012, -26496.333333333343, -845014.5]"
"{Year: *, Brand: *, Category: Midsize}",Year,"[(SUM, Sales), (%, Category)]",Point,0.99999,0.26534,0.26534,"['2009', '2010', '2008', '2011', '2007']","[0.2787, 0.2746, 0.2695, 0.2594, 0.2492]"
"{Year: *, Brand: *, Category: Midsize}",Year,"[(SUM, Sales), (rank, Category)]",Point,0.99999,0.26534,0.26534,"['2007', '2008', '2009', '2010', '2011']","[2, 2, 2, 2, 2]"
"{Year: *, Brand: *, Category: Midsize}",Year,"[(SUM, Sales), (avg, Category)]",Point,0.99971,0.26534,0.26526,"['2008', '2007', '2010', '2011', '2009']","[646108.875, 626701.875, 622035.875, 599874.875, 581867.5]"
"{Year: *, Brand: *, Category: Midsize}",Year,"[(SUM, Sales), (%, Year)]",Point,0.99967,0.26534,0.26525,"['2007', '2008', '2011', '2010', '2009']","[0.2162, 0.2072, 0.199, 0.1963, 0.1814]"
"{Year: *, Brand: *, Category: Midsize}",Brand,"[(SUM, Sales), (rank, Category)]",Point,0.99313,0.26534,0.26352,"['BMW', 'Ford', 'Honda', 'Mazda', 'Hyundai', 'Toyota', 'Volkswagen', 'GMC']","[3, 2, 2, 2, 1, 1, 1, 0]"
"{Year: *, Brand: Ford, Category: *}",Year,"[(SUM, Sales), (%, Brand)]",Point,1.0,0.25041,0.25041,"['2011', '2010', '2009', '2007', '2008']","[0.2904, 0.2535, 0.2404, 0.2387, 0.2292]"
"{Year: *, Brand: Ford, Category: *}",Category,"[(SUM, Sales), (%, Category)]",Point,1.0,0.25041,0.25041,"['SUV', 'Midsize', 'Compact', 'Fullsize', 'Sporty', 'Pickup', 'Subcompact', 'MPV']","[0.4062, 0.1722, 0.1599, 0.0951, 0.0795, 0.0584, 0.0288, 0]"
"{Year: *, Brand: Ford, Category: *}",Category,"[(SUM, Sales), (avg, Category)]",Point,1.0,0.25041,0.25041,"['SUV', 'Midsize', 'Compact', 'Fullsize', 'Sporty', 'Pickup', 'Subcompact', 'MPV']","[1445815.5714285714, 160843.57142857148, 93372.57142857148, -262227.4285714285, -347580.4285714285, -463855.4285714285, -626368.4285714285, -784234.4285714285]"
"{Year: *, Brand: Ford, Category: *}",Year,"[(SUM, Sales), (prev, Year)]",Point,1.0,0.25041,0.25041,"['2011', '2010', '2007', '2009', '2008']","[241817, 144151, 0, -114807, -179363]"
"{Year: *, Brand: Ford, Category: *}",Category,"[(SUM, Sales), (%, Brand)]",Point,1.0,0.25041,0.25041,"['Fullsize', 'Sporty', 'SUV', 'Compact', 'Pickup', 'Midsize', 'Subcompact', 'MPV']","[0.8971, 0.8148, 0.3254, 0.3225, 0.2782, 0.1625, 0.0378, 0]"
"{Year: *, Brand: Ford, Category: *}",Year,"[(SUM, Sales), (avg, Year)]",Point,1.0,0.25041,0.25041,"['2011', '2007', '2010', '2008', '2009']","[198148.80000000005, 106350.80000000005, -43668.19999999995, -73012.19999999995, -187819.19999999995]"
"{Year: *, Brand: Ford, Category: *}",Category,"[(SUM, Sales), (rank, Category)]",Point,1.0,0.25041,0.25041,"['Subcompact', 'Pickup', 'Sporty', 'Fullsize', 'Compact', 'Midsize', 'SUV', 'MPV']","[7, 6, 5, 4, 3, 2, 1, 0]"
"{Year: *, Brand: Ford, Category: *}",Year,"[(SUM, Sales), (rank, Year)]",Point,1.0,0.25041,0.25041,"['2009', '2008', '2010', '2007', '2011']","[5, 4, 3, 2, 1]"
"{Year: *, Brand: Ford, Category: *}",Year,"[(SUM, Sales), (rank, Brand)]",Point,0.99999,0.25041,0.25041,"['2007', '2008', '2009', '2010', '2011']","[2, 2, 2, 1, 1]"
"{Year: *, Brand: Ford, Category: *}",Year,"[(SUM, Sales), (%, Year)]",Point,0.99999,0.25041,0.25041,"['2011', '2007', '2010', '2008', '2009']","[0.2361, 0.2194, 0.192, 0.1867, 0.1658]"
"{Year: *, Brand: Ford, Category: *}",Category,"[(SUM, Sales), (avg, Brand)]",Point,0.99999,0.25041,0.25041,"['SUV', 'Compact', 'Sporty', 'Fullsize', 'Midsize', 'MPV', 'Pickup', 'Subcompact']","[1373408.875, 333361.19999999995, 258027.33333333334, 231076.0, 114105.14285714284, -89064.0, -255382.5, -438172.7142857143]"
"{Year: *, Brand: Ford, Category: *}",Category,"[(SUM, Sales), (rank, Brand)]",Point,0.99999,0.25041,0.25041,"['Subcompact', 'Midsize', 'Pickup', 'Compact', 'Fullsize', 'Sporty', 'SUV', 'MPV']","[4, 3, 2, 1, 1, 1, 1, 0]"
"{Year: *, Brand: Toyota, Category: *}",Year,"[(SUM, Sales), (prev, Year)]",Point,1.0,0.24094,0.24094,"['2007', '2010', '2011', '2008', '2009']","[0, -26285, -84358, -137584, -211729]"
"{Year: *, Brand: Toyota, Category: *}",Category,"[(SUM, Sales), (%, Brand)]",Point,1.0,0.24094,0.24094,"['Subcompact', 'Midsize', 'SUV', 'Compact', 'Fullsize', 'Sporty', 'Pickup', 'MPV']","[0.4432, 0.3271, 0.2232, 0, 0, 0, 0, 0]"
"{Year: *, Brand: Toyota, Category: *}",Year,"[(SUM, Sales), (avg, Brand)]",Point,1.0,0.24094,0.24094,"['2007', '2008', '2009', '2010', '2011']","[690275.875, 624444.875, 498450.5, 425523.875, 303112.875]"
"{Year: *, Brand: Toyota, Category: *}",Year,"[(SUM, Sales), (rank, Year)]",Point,1.0,0.24094,0.24094,"['2011', '2010', '2009', '2008', '2007']","[5, 4, 3, 2, 1]"
